import time: self [us] | cumulative | imported package
import time:        98 |         98 |   _ctypes
import time:       277 |        277 |   ctypes._endian
import time:       544 |        919 | ctypes
import time:       386 |        386 | torch._utils
import time:       107 |        107 | torch._utils_internal
import time:        79 |         79 |   torch.version
import time:       140 |        218 | torch.torch_version
import time:       101 |        101 |         numpy._utils._convertions
import time:       118 |        219 |       numpy._utils
import time:       290 |        508 |     numpy._globals
import time:       154 |        154 |     numpy.exceptions
import time:        76 |         76 |     numpy.version
import time:        23 |         23 |       numpy._distributor_init_local
import time:        84 |        107 |     numpy._distributor_init
import time:       102 |        102 |               numpy._utils._inspect
import time:       257 |        257 |                 numpy.core._exceptions
import time:       111 |        111 |                 numpy.dtypes
import time:      6626 |       6993 |               numpy.core._multiarray_umath
import time:       301 |       7395 |             numpy.core.overrides
import time:       492 |       7886 |           numpy.core.multiarray
import time:       164 |        164 |           numpy.core.umath
import time:       115 |        115 |             numpy.core._string_helpers
import time:       154 |        154 |                   pickle5
import time:       200 |        354 |                 numpy.compat.py3k
import time:       132 |        485 |               numpy.compat
import time:       153 |        153 |               numpy.core._dtype
import time:       314 |        952 |             numpy.core._type_aliases
import time:       345 |       1411 |           numpy.core.numerictypes
import time:       174 |        174 |                   numpy.core._ufunc_config
import time:       305 |        479 |                 numpy.core._methods
import time:       844 |       1322 |               numpy.core.fromnumeric
import time:       449 |       1771 |             numpy.core.shape_base
import time:       499 |        499 |             numpy.core.arrayprint
import time:       119 |        119 |             numpy.core._asarray
import time:       915 |       3304 |           numpy.core.numeric
import time:       796 |        796 |           numpy.core.defchararray
import time:       283 |        283 |           numpy.core.records
import time:       160 |        160 |           numpy.core.memmap
import time:       192 |        192 |           numpy.core.function_base
import time:       144 |        144 |           numpy.core._machar
import time:       278 |        278 |           numpy.core.getlimits
import time:       284 |        284 |           numpy.core.einsumfunc
import time:       286 |        286 |             numpy.core._multiarray_tests
import time:      1233 |       1519 |           numpy.core._add_newdocs
import time:       363 |        363 |           numpy.core._add_newdocs_scalars
import time:       110 |        110 |           numpy.core._dtype_ctypes
import time:       587 |        587 |           numpy.core._internal
import time:       137 |        137 |           numpy._pytesttester
import time:      1169 |      18779 |         numpy.core
import time:        57 |      18836 |       numpy.core._multiarray_umath
import time:       324 |      19159 |     numpy.__config__
import time:       239 |        239 |       numpy.lib.mixins
import time:       124 |        124 |           numpy.lib.ufunclike
import time:       374 |        498 |         numpy.lib.type_check
import time:       274 |        771 |       numpy.lib.scimath
import time:       194 |        194 |                   numpy.lib.stride_tricks
import time:       332 |        526 |                 numpy.lib.twodim_base
import time:       416 |        416 |                 numpy.linalg._umath_linalg
import time:       298 |        298 |                   numpy._typing._nested_sequence
import time:       103 |        103 |                   numpy._typing._nbit
import time:      8482 |       8482 |                   numpy._typing._char_codes
import time:       949 |        949 |                   numpy._typing._scalars
import time:       207 |        207 |                   numpy._typing._shape
import time:      7669 |       7669 |                   numpy._typing._dtype_like
import time:      6930 |       6930 |                   numpy._typing._array_like
import time:       771 |      25406 |                 numpy._typing
import time:      1480 |      27827 |               numpy.linalg.linalg
import time:       201 |      28028 |             numpy.linalg
import time:       319 |      28347 |           numpy.matrixlib.defmatrix
import time:       169 |      28515 |         numpy.matrixlib
import time:       229 |        229 |           numpy.lib.histograms
import time:      1472 |       1701 |         numpy.lib.function_base
import time:       462 |      30677 |       numpy.lib.index_tricks
import time:       362 |        362 |       numpy.lib.nanfunctions
import time:       321 |        321 |       numpy.lib.shape_base
import time:       493 |        493 |       numpy.lib.polynomial
import time:      1325 |       1325 |       numpy.lib.utils
import time:       266 |        266 |       numpy.lib.arraysetops
import time:       185 |        185 |         numpy.lib.format
import time:       202 |        202 |         numpy.lib._datasource
import time:       382 |        382 |         numpy.lib._iotools
import time:       673 |       1440 |       numpy.lib.npyio
import time:       132 |        132 |       numpy.lib.arrayterator
import time:       210 |        210 |       numpy.lib.arraypad
import time:       128 |        128 |       numpy.lib._version
import time:      1461 |      37818 |     numpy.lib
import time:       192 |        192 |         numpy.fft._pocketfft_internal
import time:       442 |        634 |       numpy.fft._pocketfft
import time:       294 |        294 |       numpy.fft.helper
import time:       265 |       1192 |     numpy.fft
import time:       191 |        191 |         numpy.polynomial.polyutils
import time:       426 |        426 |         numpy.polynomial._polybase
import time:       494 |       1110 |       numpy.polynomial.polynomial
import time:       323 |        323 |       numpy.polynomial.chebyshev
import time:       257 |        257 |       numpy.polynomial.legendre
import time:       310 |        310 |       numpy.polynomial.hermite
import time:       264 |        264 |       numpy.polynomial.hermite_e
import time:       263 |        263 |       numpy.polynomial.laguerre
import time:       226 |       2750 |     numpy.polynomial
import time:       151 |        151 |               backports_abc
import time:       580 |        730 |             numpy.random._common
import time:       194 |        194 |               hmac
import time:       251 |        444 |             secrets
import time:       562 |       1735 |           numpy.random.bit_generator
import time:       239 |        239 |           numpy.random._bounded_integers
import time:       210 |        210 |           numpy.random._mt19937
import time:       983 |       3166 |         numpy.random.mtrand
import time:       209 |        209 |         numpy.random._philox
import time:       216 |        216 |         numpy.random._pcg64
import time:       190 |        190 |         numpy.random._sfc64
import time:       623 |        623 |         numpy.random._generator
import time:       456 |       4856 |       numpy.random._pickle
import time:       221 |       5076 |     numpy.random
import time:       374 |        374 |     numpy.ctypeslib
import time:      2519 |       2519 |       numpy.ma.core
import time:      1055 |       1055 |       numpy.ma.extras
import time:       315 |       3888 |     numpy.ma
import time:      2088 |      73186 |   numpy
import time:    332009 |     405195 | torch._C
import time:       176 |        176 |       torch.utils.throughput_benchmark
import time:        85 |         85 |       torch.utils.cpp_backtrace
import time:       207 |        207 |       torch.utils.backend_registration
import time:       298 |        765 |     torch.utils
import time:       220 |        984 |   torch.utils.hooks
import time:       106 |        106 |   torch._namedtensor_internals
import time:      1360 |       1360 |   torch.overrides
import time:       275 |        275 |   torch.utils.dlpack
import time:       860 |       3584 | torch._tensor
import time:       275 |        275 |   torch.types
import time:       743 |       1018 | torch.storage
import time:       119 |        119 | torch.random
import time:       512 |        512 |   difflib
import time:        36 |         36 |     pwd
import time:        25 |         25 |     grp
import time:       842 |        903 |   tarfile
import time:       288 |        288 |   torch._sources
import time:       146 |        146 |   torch._weights_only_unpickler
import time:       659 |       2506 | torch.serialization
import time:       679 |        679 | torch._tensor_str
import time:       188 |        188 |   torch.amp.autocast_mode
import time:       121 |        309 | torch.amp
import time:       125 |        125 |   torch.cuda._utils
import time:      2005 |       2005 |     torch.utils._pytree
import time:       183 |       2188 |   torch.cuda.graphs
import time:       809 |        809 |   torch.cuda.streams
import time:       118 |        118 |   pynvml
import time:       245 |        245 |     torch.cuda._memory_viz
import time:       304 |        548 |   torch.cuda.memory
import time:       215 |        215 |   torch.cuda.random
import time:       156 |        156 |     torch.cuda.amp.autocast_mode
import time:        75 |         75 |       torch.cuda.amp.common
import time:       332 |        406 |     torch.cuda.amp.grad_scaler
import time:       109 |        670 |   torch.cuda.amp
import time:       138 |        138 |   torch.cuda.jiterator
import time:        94 |         94 |   torch.cuda.nvtx
import time:        97 |         97 |   torch.cuda.profiler
import time:        66 |         66 |   torch.cuda.sparse
import time:      2370 |       7432 | torch.cuda
import time:       319 |        319 |   torch.sparse.semi_structured
import time:       223 |        541 | torch.sparse
import time:        92 |         92 | torch._compile
import time:       181 |        181 |           torch.nn.parameter
import time:      1305 |       1486 |         torch.nn.modules.module
import time:        96 |         96 |             torch._VF
import time:      1624 |       1624 |             torch._torch_docs
import time:        74 |         74 |                     torch.distributed.constants
import time:       209 |        209 |                       torch.distributed.logging_handlers
import time:       157 |        365 |                     torch.distributed.c10d_logger
import time:       142 |        142 |                     torch.distributed.rendezvous
import time:      1205 |       1785 |                   torch.distributed.distributed_c10d
import time:       119 |        119 |                   torch.distributed.remote_device
import time:      2055 |       3957 |                 torch.distributed
import time:       189 |        189 |                   torch.futures
import time:       361 |        361 |                   torch.distributed.rpc.internal
import time:        98 |         98 |                   torch.distributed.rpc.constants
import time:        99 |         99 |                   torch.distributed.rpc._utils
import time:       481 |       1227 |                 torch.distributed.rpc.api
import time:       700 |        700 |                 torch.distributed.rpc.backend_registry
import time:        83 |         83 |                 torch.distributed.rpc.functions
import time:       200 |        200 |                 torch.distributed.autograd
import time:       252 |        252 |                 torch.distributed.rpc.options
import time:       290 |        290 |                       torch._vmap_internals
import time:       131 |        131 |                           torch.utils._contextlib
import time:       173 |        304 |                         torch.autograd.grad_mode
import time:       344 |        648 |                       torch.autograd.forward_ad
import time:     23156 |      23156 |                       torch.autograd.functional
import time:       184 |        184 |                         torch.utils._python_dispatch
import time:       549 |        733 |                       torch.autograd.graph
import time:       242 |        242 |                       torch.autograd.anomaly_mode
import time:       142 |        142 |                         torch._functorch
import time:       204 |        204 |                             torch._functorch.pyfunctorch
import time:       400 |        603 |                           torch._ops
import time:        99 |         99 |                           torch._functorch.utils
import time:        91 |         91 |                             torch._functorch.pytree_hacks
import time:       198 |        288 |                           torch._functorch.vmap
import time:       117 |        117 |                           torch._functorch.apis
import time:       587 |       1693 |                         torch._functorch.autograd_function
import time:       510 |       2344 |                       torch.autograd.function
import time:        39 |         39 |                             cmath
import time:       749 |        788 |                           torch.testing._comparison
import time:       155 |        155 |                           torch.testing._creation
import time:       125 |       1067 |                         torch.testing
import time:      1032 |       2099 |                       torch.autograd.gradcheck
import time:       231 |        231 |                       torch.autograd.variable
import time:       446 |        446 |                         torch.autograd.profiler_util
import time:       427 |        873 |                       torch.autograd.profiler
import time:      1160 |      31771 |                     torch.autograd
import time:       150 |      31921 |                   torch.autograd.profiler_legacy
import time:       130 |      32050 |                 torch.distributed.rpc.server_process_global_profiler
import time:       760 |      39226 |               torch.distributed.rpc
import time:       595 |        595 |                           pickletools
import time:       121 |        121 |                           torch.package._digraph
import time:        82 |         82 |                           torch.package._importlib
import time:        89 |         89 |                           torch.package._mangling
import time:       176 |        176 |                             torch.package.importer
import time:       103 |        278 |                           torch.package._package_pickler
import time:       156 |        156 |                           torch.package._stdlib
import time:       142 |        142 |                           torch.package.find_file_dependencies
import time:       141 |        141 |                           torch.package.glob_group
import time:      1040 |       2640 |                         torch.package.package_exporter
import time:       129 |       2769 |                       torch.package.analyze.find_first_use_of_broken_modules
import time:       171 |        171 |                       torch.package.analyze.trace_dependencies
import time:       137 |       3077 |                     torch.package.analyze
import time:        93 |       3169 |                   torch.package.analyze.is_from_package
import time:       108 |        108 |                   torch.package.file_structure_representation
import time:       104 |        104 |                     torch.package._directory_reader
import time:        91 |         91 |                     torch.package._package_unpickler
import time:       302 |        495 |                   torch.package.package_importer
import time:       117 |       3888 |                 torch.package
import time:        22 |       3909 |               torch.package._mangling
import time:       165 |        165 |               torch._awaits
import time:       450 |      43748 |             torch._jit_internal
import time:       120 |        120 |             torch.nn._reduction
import time:       108 |        108 |               torch.nn.modules.utils
import time:       112 |        219 |             torch.nn.grad
import time:      7614 |      53418 |           torch.nn.functional
import time:       202 |        202 |           torch.nn.init
import time:       152 |        152 |           torch.nn.modules.lazy
import time:       228 |      53998 |         torch.nn.modules.linear
import time:       741 |        741 |           torch.nn.common_types
import time:       656 |       1396 |         torch.nn.modules.conv
import time:       492 |        492 |         torch.nn.modules.activation
import time:       117 |        117 |           torch.nn.modules.distance
import time:      1019 |       1135 |         torch.nn.modules.loss
import time:       650 |        650 |         torch.nn.modules.container
import time:       574 |        574 |         torch.nn.modules.pooling
import time:       182 |        182 |           torch.nn.modules._functions
import time:       299 |        481 |         torch.nn.modules.batchnorm
import time:       212 |        212 |         torch.nn.modules.instancenorm
import time:       195 |        195 |         torch.nn.modules.normalization
import time:       173 |        173 |         torch.nn.modules.dropout
import time:       405 |        405 |         torch.nn.modules.padding
import time:       177 |        177 |         torch.nn.modules.sparse
import time:       364 |        364 |               torch.nn.utils.rnn
import time:       153 |        153 |                 torch.utils._foreach_utils
import time:       121 |        273 |               torch.nn.utils.clip_grad
import time:       123 |        123 |               torch.nn.utils.weight_norm
import time:       192 |        192 |               torch.nn.utils.convert_parameters
import time:       225 |        225 |               torch.nn.utils.spectral_norm
import time:        94 |         94 |               torch.nn.utils.fusion
import time:        75 |         75 |               torch.nn.utils.memory_format
import time:       228 |        228 |                 torch.nn.utils.parametrize
import time:       301 |        528 |               torch.nn.utils.parametrizations
import time:        83 |         83 |               torch.nn.utils.init
import time:       253 |        253 |                 torch.nn.utils._named_member_accessor
import time:       156 |        409 |               torch.nn.utils.stateless
import time:       195 |       2555 |             torch.nn.utils
import time:        11 |       2566 |           torch.nn.utils.rnn
import time:      1983 |       4549 |         torch.nn.modules.rnn
import time:       121 |        121 |         torch.nn.modules.pixelshuffle
import time:       183 |        183 |         torch.nn.modules.upsampling
import time:       140 |        140 |         torch.nn.modules.fold
import time:       246 |        246 |         torch.nn.modules.adaptive
import time:       345 |        345 |         torch.nn.modules.transformer
import time:       169 |        169 |         torch.nn.modules.flatten
import time:        95 |         95 |         torch.nn.modules.channelshuffle
import time:       401 |      67612 |       torch.nn.modules
import time:       261 |        261 |         torch.nn.parallel.parallel_apply
import time:       174 |        174 |             torch.cuda.nccl
import time:       124 |        297 |           torch.nn.parallel.comm
import time:       272 |        569 |         torch.nn.parallel.replicate
import time:       309 |        309 |             torch.nn.parallel._functions
import time:       173 |        482 |           torch.nn.parallel.scatter_gather
import time:       219 |        700 |         torch.nn.parallel.data_parallel
import time:       375 |        375 |               torch.distributed.algorithms.join
import time:       113 |        488 |             torch.distributed.algorithms
import time:        13 |        500 |           torch.distributed.algorithms.join
import time:       360 |        360 |           torch.distributed.utils
import time:      1194 |       2053 |         torch.nn.parallel.distributed
import time:       128 |       3709 |       torch.nn.parallel
import time:       142 |      71463 |     torch.nn
import time:        12 |      71474 |   torch.nn.functional
import time:       106 |        106 |     torch._linalg_utils
import time:       130 |        235 |   torch._lowrank
import time:      1950 |      73658 | torch.functional
import time:       122 |        122 |     torch.cpu.amp.autocast_mode
import time:       125 |        246 |   torch.cpu.amp
import time:       188 |        434 | torch.cpu
import time:       135 |        135 |   torch.mps.profiler
import time:        93 |         93 |   torch.mps.event
import time:       136 |        363 | torch.mps
import time:       233 |        233 | torch.fft
import time:       120 |        120 | torch.nested
import time:       314 |        314 |     torch.signal.windows.windows
import time:       126 |        439 |   torch.signal.windows
import time:       101 |        540 | torch.signal
import time:       650 |        650 |     torch.optim.optimizer
import time:       201 |        851 |   torch.optim.adadelta
import time:       154 |        154 |   torch.optim.adagrad
import time:       195 |        195 |   torch.optim.adam
import time:       189 |        189 |   torch.optim.adamw
import time:       154 |        154 |       torch.optim.adamax
import time:       144 |        144 |       torch.optim.asgd
import time:       183 |        183 |       torch.optim.nadam
import time:       146 |        146 |       torch.optim.radam
import time:       130 |        130 |       torch.optim.rmsprop
import time:       138 |        138 |       torch.optim.rprop
import time:       148 |        148 |       torch.optim.sgd
import time:       233 |       1273 |     torch.optim._functional
import time:       125 |       1398 |   torch.optim.sparse_adam
import time:       159 |        159 |   torch.optim.lbfgs
import time:      2026 |       2026 |   torch.optim.lr_scheduler
import time:       178 |        178 |   torch.optim.swa_utils
import time:       180 |       5327 | torch.optim
import time:       179 |        179 | torch.optim._multi_tensor
import time:       228 |        228 |       multiprocessing.process
import time:       215 |        215 |       multiprocessing.reduction
import time:       417 |        859 |     multiprocessing.context
import time:       155 |       1014 |   multiprocessing
import time:       262 |        262 |     multiprocessing.util
import time:       135 |        135 |     multiprocessing.resource_sharer
import time:       222 |        618 |   torch.multiprocessing.reductions
import time:        35 |         35 |       _multiprocessing
import time:       108 |        108 |       _winapi
import time:       339 |        481 |     multiprocessing.connection
import time:       166 |        646 |   torch.multiprocessing.spawn
import time:       176 |       2452 | torch.multiprocessing
import time:       210 |        210 | torch.special
import time:       106 |        106 | torch.utils.backcompat
import time:       131 |        131 |           torch.backends.cpu
import time:       331 |        331 |           torch.backends.cuda
import time:       147 |        147 |           torch.backends.cudnn
import time:        99 |         99 |           torch.backends.mkl
import time:       129 |        129 |           torch.backends.mkldnn
import time:       115 |        115 |             torch.library
import time:       113 |        227 |           torch.backends.mps
import time:        84 |         84 |           torch.backends.openmp
import time:       147 |        147 |           torch.backends.quantized
import time:       947 |       2239 |         torch.backends
import time:        11 |       2249 |       torch.backends.cudnn
import time:       199 |       2448 |     torch.jit._builtins
import time:      1056 |       3504 |   torch.jit._async
import time:       102 |        102 |   torch.jit._await
import time:        82 |         82 |   torch.jit._decomposition_utils
import time:       104 |        104 |       torch._classes
import time:       119 |        119 |       torch.jit._fuser
import time:        99 |         99 |         monkeytype
import time:       156 |        254 |       torch.jit._monkeytype_config
import time:       105 |        105 |         torch.jit._check
import time:       138 |        138 |         torch.jit._state
import time:       202 |        202 |           torch.jit.annotations
import time:       134 |        134 |           torch.jit._dataclass_impls
import time:        99 |         99 |           astunparse
import time:       524 |        959 |         torch.jit.frontend
import time:       485 |       1685 |       torch.jit._recursive
import time:       119 |        119 |       torch.jit._serialization
import time:       811 |       3090 |     torch.jit._script
import time:       116 |       3205 |   torch.jit._freeze
import time:       116 |        116 |   torch.jit._ir_utils
import time:       475 |        475 |   torch.jit._trace
import time:       199 |       7679 | torch.jit
import time:       275 |        275 | torch.linalg
import time:       125 |        125 |     urllib.response
import time:       141 |        265 |   urllib.error
import time:       567 |        567 |       http
import time:       422 |        422 |         email.feedparser
import time:       140 |        561 |       email.parser
import time:       644 |       1771 |     http.client
import time:       892 |       2662 |   urllib.request
import time:       161 |        161 |     tqdm._monitor
import time:        84 |         84 |     tqdm._tqdm_pandas
import time:       268 |        268 |         tqdm.utils
import time:       633 |        900 |       tqdm.std
import time:        64 |         64 |         tqdm._dist_ver
import time:        84 |        148 |       tqdm.version
import time:       311 |       1358 |     tqdm.cli
import time:       127 |        127 |     tqdm.gui
import time:       177 |       1905 |   tqdm
import time:       351 |       5182 | torch.hub
import time:       441 |        441 |     torch.distributions.constraints
import time:       136 |        136 |         torch.distributions.utils
import time:       183 |        319 |       torch.distributions.distribution
import time:       110 |        428 |     torch.distributions.exp_family
import time:       210 |       1079 |   torch.distributions.bernoulli
import time:       227 |        227 |     torch.distributions.dirichlet
import time:       125 |        351 |   torch.distributions.beta
import time:       132 |        132 |   torch.distributions.binomial
import time:       140 |        140 |   torch.distributions.categorical
import time:       119 |        119 |   torch.distributions.cauchy
import time:       116 |        116 |     torch.distributions.gamma
import time:       105 |        220 |   torch.distributions.chi2
import time:       989 |        989 |     torch.distributions.transforms
import time:       178 |       1167 |   torch.distributions.constraint_registry
import time:       150 |        150 |   torch.distributions.continuous_bernoulli
import time:       115 |        115 |   torch.distributions.exponential
import time:       116 |        116 |   torch.distributions.fishersnedecor
import time:       120 |        120 |   torch.distributions.geometric
import time:       113 |        113 |       torch.distributions.independent
import time:       178 |        291 |     torch.distributions.transformed_distribution
import time:       138 |        138 |     torch.distributions.uniform
import time:       131 |        558 |   torch.distributions.gumbel
import time:       114 |        114 |   torch.distributions.half_cauchy
import time:       121 |        121 |     torch.distributions.normal
import time:       113 |        233 |   torch.distributions.half_normal
import time:       112 |        112 |     torch.distributions.laplace
import time:       189 |        189 |       torch.distributions.multivariate_normal
import time:       143 |        332 |     torch.distributions.lowrank_multivariate_normal
import time:       135 |        135 |     torch.distributions.one_hot_categorical
import time:       107 |        107 |     torch.distributions.pareto
import time:       108 |        108 |     torch.distributions.poisson
import time:       435 |       1225 |   torch.distributions.kl
import time:       115 |        115 |   torch.distributions.kumaraswamy
import time:       109 |        109 |   torch.distributions.lkj_cholesky
import time:       109 |        109 |   torch.distributions.log_normal
import time:        94 |         94 |   torch.distributions.logistic_normal
import time:       135 |        135 |   torch.distributions.mixture_same_family
import time:       176 |        176 |   torch.distributions.multinomial
import time:       127 |        127 |   torch.distributions.negative_binomial
import time:       140 |        140 |   torch.distributions.relaxed_bernoulli
import time:       132 |        132 |   torch.distributions.relaxed_categorical
import time:       117 |        117 |   torch.distributions.studentT
import time:       145 |        145 |   torch.distributions.von_mises
import time:       120 |        120 |   torch.distributions.weibull
import time:       187 |        187 |   torch.distributions.wishart
import time:       402 |       7936 | torch.distributions
import time:       449 |        449 |   torch.utils.data.sampler
import time:       461 |        461 |   torch.utils.data.dataset
import time:       206 |        206 |               torch.utils.data.datapipes._hook_iterator
import time:       355 |        560 |             torch.utils.data.datapipes._typing
import time:        94 |         94 |               torch.utils.data.datapipes.utils
import time:        82 |         82 |                     torch.utils.data._utils.signal_handling
import time:      1115 |       1197 |                   torch.utils.data._utils.worker
import time:        99 |         99 |                   torch.utils.data._utils.pin_memory
import time:       237 |        237 |                   torch.utils.data._utils.collate
import time:       115 |        115 |                   torch.utils.data._utils.fetch
import time:       152 |       1798 |                 torch.utils.data._utils
import time:       133 |        133 |                   dill.__info__
import time:       204 |        204 |                     dill.logger
import time:       778 |        778 |                     _pyio
import time:       129 |        129 |                     dill._shims
import time:        76 |         76 |                     dill.settings
import time:       106 |        106 |                     winreg
import time:      1268 |       2557 |                   dill._dill
import time:       693 |        693 |                   dill.session
import time:        91 |         91 |                     dill.pointers
import time:       137 |        228 |                   dill.detect
import time:       185 |        185 |                   dill.source
import time:       103 |        103 |                   dill.temp
import time:        84 |         84 |                   dill.objtypes
import time:       249 |       4229 |                 dill
import time:        89 |       6116 |               torch.utils.data._utils.serialization
import time:       355 |       6563 |             torch.utils.data.datapipes.utils.common
import time:       466 |       7588 |           torch.utils.data.datapipes.datapipe
import time:       149 |       7737 |         torch.utils.data.datapipes.iter.utils
import time:       202 |        202 |           torch.utils.data.datapipes._decorator
import time:       114 |        114 |                 torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       108 |        221 |               torch.utils.data.datapipes.dataframe.structures
import time:       499 |        719 |             torch.utils.data.datapipes.dataframe.dataframes
import time:       311 |        311 |             torch.utils.data.datapipes.dataframe.datapipes
import time:       115 |       1145 |           torch.utils.data.datapipes.dataframe
import time:       310 |       1656 |         torch.utils.data.datapipes.iter.callable
import time:       298 |        298 |         torch.utils.data.datapipes.iter.combinatorics
import time:       663 |        663 |         torch.utils.data.datapipes.iter.combining
import time:       177 |        177 |         torch.utils.data.datapipes.iter.filelister
import time:       155 |        155 |         torch.utils.data.datapipes.iter.fileopener
import time:       245 |        245 |           torch.utils.data.datapipes.iter.sharding
import time:       321 |        565 |         torch.utils.data.datapipes.iter.grouping
import time:       652 |        652 |           torch.utils.data.datapipes.utils.decoder
import time:       215 |        867 |         torch.utils.data.datapipes.iter.routeddecoder
import time:       180 |        180 |         torch.utils.data.datapipes.iter.selecting
import time:       154 |        154 |         torch.utils.data.datapipes.iter.streamreader
import time:       224 |      12669 |       torch.utils.data.datapipes.iter
import time:       217 |        217 |         torch.utils.data.datapipes.map.callable
import time:       204 |        204 |         torch.utils.data.datapipes.map.combinatorics
import time:       331 |        331 |         torch.utils.data.datapipes.map.combining
import time:       171 |        171 |         torch.utils.data.datapipes.map.grouping
import time:        95 |         95 |         torch.utils.data.datapipes.map.utils
import time:       137 |       1153 |       torch.utils.data.datapipes.map
import time:       117 |      13938 |     torch.utils.data.datapipes
import time:        12 |      13949 |   torch.utils.data.datapipes.datapipe
import time:       196 |        196 |       torch.utils.data.graph
import time:       117 |        313 |     torch.utils.data.graph_settings
import time:       558 |        871 |   torch.utils.data.dataloader
import time:       150 |        150 |   torch.utils.data.distributed
import time:       145 |      16023 | torch.utils.data
import time:        78 |         78 | torch.__config__
import time:        67 |         67 | torch.__future__
import time:       798 |        798 |       torch.profiler._utils
import time:      2992 |       3789 |     torch.profiler._memory_profiler
import time:       478 |       4266 |   torch.profiler.profiler
import time:       100 |        100 |   torch.profiler.itt
import time:       135 |       4500 | torch.profiler
import time:       113 |        113 | torch.ao
import time:       150 |        150 |           torch.ao.nn
import time:       272 |        272 |             torch.ao.nn.quantizable.modules.activation
import time:       385 |        385 |             torch.ao.nn.quantizable.modules.rnn
import time:       171 |        827 |           torch.ao.nn.quantizable.modules
import time:       162 |       1138 |         torch.ao.nn.quantizable
import time:        16 |       1153 |       torch.ao.nn.quantizable.modules
import time:        13 |       1165 |     torch.ao.nn.quantizable.modules.activation
import time:       142 |       1307 |   torch.nn.quantizable.modules
import time:        97 |       1404 | torch.nn.quantizable
import time:       303 |        303 |               torch.ao.nn.quantized.modules.activation
import time:       112 |        112 |               torch.ao.nn.quantized.modules.dropout
import time:       430 |        430 |                     torch.ao.nn.intrinsic.modules.fused
import time:       161 |        591 |                   torch.ao.nn.intrinsic.modules
import time:       113 |        703 |                 torch.ao.nn.intrinsic
import time:       172 |        875 |               torch.ao.nn.quantized.modules.batchnorm
import time:       223 |        223 |               torch.ao.nn.quantized.modules.normalization
import time:       143 |        143 |                           torch.ao.nn.qat.modules.linear
import time:       321 |        321 |                           torch.ao.nn.qat.modules.conv
import time:       138 |        138 |                           torch.ao.nn.qat.modules.embedding_ops
import time:       249 |        850 |                         torch.ao.nn.qat.modules
import time:       135 |        984 |                       torch.ao.nn.qat
import time:       162 |       1146 |                     torch.ao.nn.intrinsic.qat.modules.linear_relu
import time:       143 |        143 |                     torch.ao.nn.intrinsic.qat.modules.linear_fused
import time:       346 |        346 |                     torch.ao.nn.intrinsic.qat.modules.conv_fused
import time:       171 |       1804 |                   torch.ao.nn.intrinsic.qat.modules
import time:       111 |       1914 |                 torch.ao.nn.intrinsic.qat
import time:       133 |        133 |                 torch.ao.nn.quantized.modules.utils
import time:       460 |       2506 |               torch.ao.nn.quantized.modules.conv
import time:       188 |        188 |               torch.ao.nn.quantized.modules.linear
import time:       261 |        261 |               torch.ao.nn.quantized.modules.embedding_ops
import time:        96 |         96 |               torch.ao.nn.quantized.modules.rnn
import time:       162 |        162 |               torch.ao.nn.quantized.modules.functional_modules
import time:       240 |       4962 |             torch.ao.nn.quantized.modules
import time:        14 |       4975 |           torch.ao.nn.quantized.modules.utils
import time:       226 |       5201 |         torch.ao.nn.quantized.functional
import time:       111 |       5311 |       torch.ao.nn.quantized
import time:       165 |        165 |         torch.ao.nn.quantized.dynamic.modules.linear
import time:       402 |        402 |         torch.ao.nn.quantized.dynamic.modules.rnn
import time:       284 |        284 |         torch.ao.nn.quantized.dynamic.modules.conv
import time:       144 |        993 |       torch.ao.nn.quantized.dynamic.modules
import time:       101 |       6405 |     torch.ao.nn.quantized.dynamic
import time:       147 |       6552 |   torch.nn.quantized.dynamic
import time:        81 |         81 |   torch.nn.quantized.functional
import time:       108 |        108 |   torch.nn.quantized.modules
import time:       153 |       6892 | torch.nn.quantized
import time:       142 |        142 |                 torch.ao.nn.qat.dynamic.modules.linear
import time:       114 |        256 |               torch.ao.nn.qat.dynamic.modules
import time:        81 |        336 |             torch.ao.nn.qat.dynamic
import time:         9 |        345 |           torch.ao.nn.qat.dynamic.modules
import time:        10 |        355 |         torch.ao.nn.qat.dynamic.modules.linear
import time:       100 |        454 |       torch.nn.qat.dynamic.modules.linear
import time:       118 |        571 |     torch.nn.qat.dynamic.modules
import time:       118 |        689 |   torch.nn.qat.dynamic
import time:       102 |        102 |     torch.nn.qat.modules.conv
import time:        67 |         67 |     torch.nn.qat.modules.embedding_ops
import time:        68 |         68 |     torch.nn.qat.modules.linear
import time:       131 |        366 |   torch.nn.qat.modules
import time:       106 |       1160 | torch.nn.qat
import time:       102 |        102 |     torch.nn.intrinsic.modules.fused
import time:       135 |        237 |   torch.nn.intrinsic.modules
import time:       104 |        104 |       torch.nn.intrinsic.qat.modules.linear_relu
import time:        69 |         69 |       torch.nn.intrinsic.qat.modules.linear_fused
import time:        71 |         71 |       torch.nn.intrinsic.qat.modules.conv_fused
import time:       133 |        375 |     torch.nn.intrinsic.qat.modules
import time:        88 |        462 |   torch.nn.intrinsic.qat
import time:       209 |        209 |             torch.ao.nn.intrinsic.quantized.modules.linear_relu
import time:       161 |        161 |             torch.ao.nn.intrinsic.quantized.modules.conv_relu
