import time: self [us] | cumulative | imported package
import time:       102 |        102 |                     humanfriendly.text
import time:       145 |        246 |                   humanfriendly.deprecation
import time:       430 |       6084 |                 humanfriendly
import time:        50 |         50 |                       _locale
import time:       560 |        610 |                     locale
import time:       423 |        423 |                     signal
import time:        46 |         46 |                     fcntl
import time:       118 |        118 |                     msvcrt
import time:        22 |         22 |                     _posixsubprocess
import time:       489 |       1706 |                   subprocess
import time:        83 |         83 |                   termios
import time:        47 |         47 |                     _struct
import time:       114 |        161 |                   struct
import time:       103 |        103 |                   humanfriendly.decorators
import time:        37 |         37 |                       _csv
import time:       233 |        269 |                     csv
import time:       468 |        737 |                   humanfriendly.usage
import time:       352 |       3139 |                 humanfriendly.terminal
import time:       483 |      11342 |               coloredlogs
import time:       583 |      50438 |             atria_registry.registry_group
import time:       196 |      56259 |           atria_registry.module_registry
import time:       794 |        794 |                     pydantic_core._pydantic_core
import time:      1641 |       1641 |                       typing_extensions
import time:        92 |         92 |                               concurrent
import time:       383 |        383 |                               concurrent.futures._base
import time:       152 |        625 |                             concurrent.futures
import time:        26 |         26 |                               _heapq
import time:       160 |        186 |                             heapq
import time:       642 |        642 |                               _ssl
import time:        52 |         52 |                                 binascii
import time:       213 |        264 |                               base64
import time:      2129 |       3034 |                             ssl
import time:       179 |        179 |                             asyncio.constants
import time:       104 |        104 |                             asyncio.coroutines
import time:        19 |         19 |                                 _contextvars
import time:        96 |        115 |                               contextvars
import time:        93 |         93 |                               asyncio.format_helpers
import time:        99 |         99 |                                 asyncio.base_futures
import time:       143 |        143 |                                 asyncio.exceptions
import time:       161 |        161 |                                 asyncio.base_tasks
import time:       100 |        502 |                               _asyncio
import time:       345 |       1053 |                             asyncio.events
import time:       174 |        174 |                             asyncio.futures
import time:       152 |        152 |                             asyncio.protocols
import time:       181 |        181 |                               asyncio.transports
import time:        95 |         95 |                               asyncio.log
import time:       501 |        776 |                             asyncio.sslproto
import time:        83 |         83 |                                 asyncio.mixins
import time:       257 |        257 |                                 asyncio.tasks
import time:       345 |        684 |                               asyncio.locks
import time:       288 |        971 |                             asyncio.staggered
import time:       120 |        120 |                             asyncio.trsock
import time:       604 |       7973 |                           asyncio.base_events
import time:       261 |        261 |                           asyncio.runners
import time:       184 |        184 |                           asyncio.queues
import time:       261 |        261 |                           asyncio.streams
import time:       166 |        166 |                           asyncio.subprocess
import time:       120 |        120 |                           asyncio.taskgroups
import time:       275 |        275 |                           asyncio.timeouts
import time:       100 |        100 |                           asyncio.threads
import time:       183 |        183 |                             asyncio.base_subprocess
import time:       354 |        354 |                             asyncio.selector_events
import time:      1134 |       1669 |                           asyncio.unix_events
import time:       224 |      11230 |                         asyncio
import time:        23 |      11252 |                       asyncio.coroutines
import time:      7513 |      20405 |                     pydantic_core.core_schema
import time:       440 |      21638 |                   pydantic_core
import time:       106 |      21744 |                 pydantic.version
import time:       232 |      21975 |               pydantic._migration
import time:       115 |        115 |                   typing_inspection
import time:       977 |        977 |                   typing_inspection.typing_objects
import time:       652 |       1743 |                 typing_inspection.introspection
import time:       103 |        103 |                 pydantic._internal
import time:       262 |        262 |                     pydantic._internal._namespace_utils
import time:       304 |        565 |                   pydantic._internal._typing_extra
import time:       210 |        774 |                 pydantic._internal._repr
import time:       295 |       2915 |               pydantic.errors
import time:       236 |      25124 |             pydantic
import time:        67 |         67 |                 pydantic._internal._internal_dataclass
import time:       788 |        854 |               pydantic.aliases
import time:       655 |        655 |               pydantic.config
import time:       287 |       1796 |             pydantic._internal._config
import time:       180 |        180 |               pydantic._internal._core_utils
import time:        83 |         83 |                 pydantic._internal._import_utils
import time:       729 |        812 |               pydantic._internal._utils
import time:      2708 |       3698 |             pydantic._internal._decorators
import time:       331 |        331 |                 pydantic._internal._forward_ref
import time:       305 |        635 |               pydantic._internal._generics
import time:       131 |        131 |               pydantic._internal._docs_extraction
import time:       204 |        969 |             pydantic._internal._fields
import time:       360 |        360 |                 pydantic.plugin
import time:       214 |        574 |               pydantic.plugin._schema_validator
import time:       301 |        875 |             pydantic._internal._mock_val_ser
import time:       578 |        578 |                 fractions
import time:        24 |         24 |                   _uuid
import time:       318 |        342 |                 uuid
import time:       367 |        367 |                     sysconfig
import time:       353 |        353 |                     _sysconfigdata__linux_x86_64-linux-gnu
import time:       405 |       1124 |                   zoneinfo._tzpath
import time:       132 |        132 |                   zoneinfo._common
import time:        54 |         54 |                   _zoneinfo
import time:       156 |       1464 |                 zoneinfo
import time:       121 |        121 |                 pydantic.annotated_handlers
import time:      2394 |       2394 |                 pydantic.functional_validators
import time:       240 |        240 |                   pydantic._internal._core_metadata
import time:       139 |        139 |                   pydantic._internal._schema_generation_shared
import time:      1406 |       1783 |                 pydantic.json_schema
import time:       173 |        173 |                 pydantic._internal._discriminated_union
import time:       194 |        194 |                 pydantic._internal._known_annotated_metadata
import time:       492 |        492 |                 pydantic._internal._schema_gather
import time:      1183 |       8719 |               pydantic._internal._generate_schema
import time:       134 |        134 |               pydantic._internal._signature
import time:       323 |       9176 |             pydantic._internal._model_construction
import time:      5955 |       5955 |               annotated_types
import time:       212 |        212 |               pydantic._internal._validators
import time:      4356 |       4356 |               pydantic.types
import time:      1326 |      11848 |             pydantic.fields
import time:       109 |        109 |                 email
import time:       701 |        701 |                 zipfile
import time:       114 |        114 |                     quopri
import time:       346 |        346 |                         calendar
import time:       169 |        514 |                       email._parseaddr
import time:        89 |         89 |                         email.base64mime
import time:       187 |        187 |                         email.quoprimime
import time:       306 |        306 |                         email.errors
import time:        92 |         92 |                         email.encoders
import time:       217 |        890 |                       email.charset
import time:       342 |       1745 |                     email.utils
import time:       406 |        406 |                       email.header
import time:       224 |        629 |                     email._policybase
import time:       185 |        185 |                     email._encoded_words
import time:        91 |         91 |                     email.iterators
import time:       505 |       3267 |                   email.message
import time:        88 |         88 |                     importlib.metadata._functools
import time:       145 |        233 |                   importlib.metadata._text
import time:       203 |       3701 |                 importlib.metadata._adapters
import time:       222 |        222 |                 importlib.metadata._meta
import time:       188 |        188 |                 importlib.metadata._collections
import time:        89 |         89 |                 importlib.metadata._itertools
import time:       374 |        374 |                         tempfile
import time:       223 |        223 |                         importlib.resources.abc
import time:       213 |        213 |                         importlib.resources._adapters
import time:       206 |       1014 |                       importlib.resources._common
import time:       147 |        147 |                       importlib.resources._legacy
import time:       103 |       1263 |                     importlib.resources
import time:        11 |       1274 |                   importlib.resources.abc
import time:       312 |       1586 |                 importlib.abc
import time:       877 |       7470 |               importlib.metadata
import time:       106 |       7576 |             pydantic.plugin._loader
import time:      7558 |      68616 |           atria_registry.registry_config
import time:       238 |     125111 |         atria_registry
import time:        14 |     125125 |       atria_registry.module_registry
import time:       128 |        128 |       atria_ml.registry.module_registry
import time:       212 |     125465 |     atria_ml.registry
import time:       177 |     125641 |   atria_ml
import time:       103 |     125743 | atria_ml.task_pipelines
import time:       251 |        251 |           _compat_pickle
import time:        87 |         87 |           _pickle
import time:       108 |        108 |               org
import time:        11 |        118 |             org.python
import time:        11 |        129 |           org.python.core
import time:       599 |       1065 |         pickle
import time:        38 |         38 |           _queue
import time:       221 |        259 |         queue
import time:       446 |       1769 |       logging.handlers
import time:       459 |        459 |       socketserver
import time:      1698 |       3925 |     logging.config
import time:        95 |         95 |         hydra._internal
import time:       140 |        235 |       hydra._internal.instantiate
import time:       212 |        212 |             antlr4.Token
import time:       119 |        119 |             antlr4.InputStream
import time:       108 |        108 |             antlr4.FileStream
import time:        99 |         99 |             antlr4.StdinStream
import time:        76 |         76 |                 antlr4.error
import time:        81 |         81 |                       antlr4.tree
import time:       273 |        354 |                     antlr4.tree.Tree
import time:        86 |         86 |                       antlr4.Utils
import time:       191 |        276 |                     antlr4.tree.Trees
import time:       126 |        755 |                   antlr4.RuleContext
import time:       153 |        907 |                 antlr4.ParserRuleContext
import time:       114 |        114 |                   antlr4.error.ErrorListener
import time:       141 |        255 |                 antlr4.Recognizer
import time:       257 |       1493 |               antlr4.error.Errors
import time:       163 |       1656 |             antlr4.BufferedTokenStream
import time:        92 |         92 |                 antlr4.CommonTokenFactory
import time:        93 |         93 |                   antlr4.atn
import time:       175 |        175 |                       antlr4.IntervalSet
import time:       180 |        180 |                       antlr4.atn.ATNType
import time:       159 |        159 |                           antlr4.atn.SemanticContext
import time:       274 |        433 |                         antlr4.atn.Transition
import time:       317 |        749 |                       antlr4.atn.ATNState
import time:       123 |       1226 |                     antlr4.atn.ATN
import time:       190 |       1416 |                   antlr4.PredictionContext
import time:       325 |        325 |                       antlr4.atn.LexerAction
import time:       116 |        440 |                     antlr4.atn.LexerActionExecutor
import time:       135 |        574 |                   antlr4.atn.ATNConfig
import time:       139 |        139 |                     antlr4.atn.ATNConfigSet
import time:        83 |         83 |                       antlr4.dfa
import time:       161 |        243 |                     antlr4.dfa.DFAState
import time:       113 |        494 |                   antlr4.atn.ATNSimulator
import time:       294 |       2870 |                 antlr4.atn.LexerATNSimulator
import time:       191 |       3151 |               antlr4.Lexer
import time:       121 |       3272 |             antlr4.CommonTokenStream
import time:       169 |        169 |               antlr4.error.ErrorStrategy
import time:        87 |         87 |                 antlr4.atn.ATNDeserializationOptions
import time:       248 |        334 |               antlr4.atn.ATNDeserializer
import time:       100 |        100 |                 antlr4.ListTokenSource
import time:       166 |        166 |                 antlr4.tree.Chunk
import time:        82 |         82 |                 antlr4.tree.RuleTagToken
import time:        97 |         97 |                 antlr4.tree.TokenTagToken
import time:       180 |        624 |               antlr4.tree.ParseTreePatternMatcher
import time:       221 |       1346 |             antlr4.Parser
import time:       112 |        112 |             antlr4.dfa.DFA
import time:       221 |        221 |               antlr4.atn.PredictionMode
import time:       284 |        505 |             antlr4.atn.ParserATNSimulator
import time:       113 |        113 |             antlr4.error.DiagnosticErrorListener
import time:       198 |       7736 |           antlr4
import time:       159 |        159 |               yaml.error
import time:       201 |        201 |               yaml.tokens
import time:       181 |        181 |               yaml.events
import time:       117 |        117 |               yaml.nodes
import time:      3687 |       3687 |                 yaml.reader
import time:       239 |        239 |                 yaml.scanner
import time:       159 |        159 |                 yaml.parser
import time:       123 |        123 |                 yaml.composer
import time:       675 |        675 |                 yaml.constructor
import time:      1094 |       1094 |                 yaml.resolver
import time:       234 |       6207 |               yaml.loader
import time:       241 |        241 |                 yaml.emitter
import time:       123 |        123 |                 yaml.serializer
import time:       603 |        603 |                 yaml.representer
import time:       164 |       1130 |               yaml.dumper
import time:       284 |        284 |                 yaml._yaml
import time:       218 |        501 |               yaml.cyaml
import time:       259 |       8752 |             yaml
import time:       302 |        302 |             omegaconf.errors
import time:        79 |         79 |                     omegaconf.grammar
import time:       120 |        199 |                   omegaconf.grammar.gen
import time:      2484 |       2682 |                 omegaconf.grammar.gen.OmegaConfGrammarLexer
import time:      1436 |       1436 |                 omegaconf.grammar.gen.OmegaConfGrammarParser
import time:       131 |        131 |                 omegaconf.grammar.gen.OmegaConfGrammarParserVisitor
import time:       355 |       4602 |               omegaconf.grammar_visitor
import time:       591 |       5192 |             omegaconf.grammar_parser
import time:       724 |      14969 |           omegaconf._utils
import time:      1709 |      24413 |         omegaconf.base
import time:       462 |        462 |           omegaconf.basecontainer
import time:       343 |        343 |           omegaconf.nodes
import time:       467 |       1271 |         omegaconf.dictconfig
import time:       456 |        456 |         omegaconf.listconfig
import time:       125 |        125 |               omegaconf.resolvers.oc.dict
import time:       160 |        284 |             omegaconf.resolvers.oc
import time:       109 |        393 |           omegaconf.resolvers
import time:       769 |       1161 |         omegaconf.omegaconf
import time:        79 |         79 |         omegaconf.version
import time:       164 |      27541 |       omegaconf
import time:       508 |        508 |           gettext
import time:       787 |       1294 |         argparse
import time:        81 |         81 |             hydra.core
import time:       421 |        501 |           hydra.core.config_search_path
import time:       131 |        632 |         hydra._internal.config_search_path_impl
import time:       111 |        111 |               packaging
import time:       102 |        102 |               packaging._structures
import time:      1505 |       1718 |             packaging.version
import time:       174 |        174 |               hydra.errors
import time:        93 |        267 |             hydra._internal.deprecation_warning
import time:       127 |        127 |             hydra.core.singleton
import time:       167 |       2278 |           hydra.version
import time:       147 |        147 |                 hydra.core.object_type
import time:        84 |         84 |                   hydra.plugins
import time:      2771 |       2771 |                   hydra.core.default_element
import time:        96 |         96 |                   hydra.plugins.plugin
